alloc,,robots,,permut,,attr,,time  (maxSucc value=prob. of failing times 100)
1,,[r2, r3, r1],,[1970022937, 186, 1935706587],,{maxSucc=70.23718677793507, minTravel=800.0},,15741
8,,[r2, r3, r1],,[1425997317, 581, 960961117],,{maxSucc=62.491702484752956, minTravel=689.0},,1072394
16,,[r2, r3, r1],,[1577155503, 375, 764927459],,{maxSucc=63.78019119577878, minTravel=725.0},,1973058
16,,[r2, r3, r1],,[555269989, 306, 1822694631],,{maxSucc=63.7801911957788, minTravel=801.0},,1977857
16,,[r2, r3, r1],,[597550585, 553, 1548074741],,{maxSucc=63.78019119577878, minTravel=737.0},,1982961
16,,[r2, r3, r1],,[1063813315, 668, 1476798679],,{maxSucc=63.78019119577878, minTravel=724.0},,1995725
16,,[r2, r3, r1],,[177365369, 63, 118950206],,{maxSucc=63.78019119577877, minTravel=741.0},,1998297
16,,[r2, r3, r1],,[503794259, 602, 1090081788],,{maxSucc=63.78019119577877, minTravel=835.0},,2000885
16,,[r2, r3, r1],,[709622610, 494, 1895959452],,{maxSucc=63.78019119577879, minTravel=750.0},,2011250
16,,[r2, r3, r1],,[771186435, 601, 986789653],,{maxSucc=63.78019119577879, minTravel=677.0},,2023732
16,,[r2, r3, r1],,[958924336, 631, 671569969],,{maxSucc=63.78019119577878, minTravel=765.0},,2026313
16,,[r2, r3, r1],,[169284710, 29, 197035323],,{maxSucc=63.78019119577878, minTravel=673.0},,2028710
16,,[r2, r3, r1],,[1709771548, 444, 345940761],,{maxSucc=63.78019119577878, minTravel=759.0},,2035968
16,,[r2, r3, r1],,[1349261539, 429, 239228300],,{maxSucc=63.78019119577877, minTravel=827.0},,2042381
16,,[r2, r3, r1],,[85052133, 128, 701842667],,{maxSucc=63.78019119577877, minTravel=836.0},,2045008
16,,[r2, r3, r1],,[1624063883, 91, 1630023963],,{maxSucc=63.78019119577879, minTravel=866.0},,2050322
16,,[r2, r3, r1],,[1919595258, 615, 317674945],,{maxSucc=63.78019119577879, minTravel=788.0},,2054741
16,,[r2, r3, r1],,[1912717584, 46, 1595604790],,{maxSucc=63.78019119577879, minTravel=830.0},,2057911
16,,[r2, r3, r1],,[1494531586, 441, 1510136666],,{maxSucc=63.78019119577877, minTravel=888.0},,2061149
16,,[r2, r3, r1],,[1014947989, 659, 1852407005],,{maxSucc=63.78019119577877, minTravel=840.0},,2075996
16,,[r2, r3, r1],,[1260958695, 146, 795542592],,{maxSucc=63.78019119577879, minTravel=771.0},,2085992
16,,[r2, r3, r1],,[368599738, 80, 1371248687],,{maxSucc=63.78019119577878, minTravel=769.0},,2091531
16,,[r2, r3, r1],,[1976437636, 288, 869995002],,{maxSucc=63.78019119577877, minTravel=698.0},,2102205
17,,[r2, r3, r1],,[1474019983, 221, 1315805942],,{maxSucc=63.135946840265866, minTravel=872.0},,2113359
17,,[r2, r3, r1],,[1122544935, 376, 904018433],,{maxSucc=63.135946840265866, minTravel=698.0},,2115916
17,,[r2, r3, r1],,[276641460, 186, 731148045],,{maxSucc=63.135946840265866, minTravel=623.0},,2136051
17,,[r2, r3, r1],,[1949543814, 707, 1762088240],,{maxSucc=63.135946840265866, minTravel=730.0},,2141588
17,,[r2, r3, r1],,[1423273902, 608, 1761090576],,{maxSucc=63.135946840265866, minTravel=715.0},,2144241
17,,[r2, r3, r1],,[1826588927, 516, 1129168046],,{maxSucc=63.13594684026585, minTravel=737.0},,2149344
17,,[r2, r3, r1],,[1133551768, 420, 1810489994],,{maxSucc=63.135946840265845, minTravel=767.0},,2154487
17,,[r2, r3, r1],,[1104891800, 601, 122451545],,{maxSucc=63.135946840265866, minTravel=759.0},,2157099
17,,[r2, r3, r1],,[890197218, 589, 385732393],,{maxSucc=63.135946840265866, minTravel=831.0},,2167285
17,,[r2, r3, r1],,[708595020, 131, 437735168],,{maxSucc=63.135946840265866, minTravel=663.0},,2172322
17,,[r2, r3, r1],,[741043621, 120, 597895487],,{maxSucc=63.135946840265866, minTravel=676.0},,2174812
17,,[r2, r3, r1],,[64723590, 191, 1497112965],,{maxSucc=63.135946840265845, minTravel=790.0},,2182289
17,,[r2, r3, r1],,[1189412631, 261, 979924620],,{maxSucc=63.135946840265866, minTravel=700.0},,2190270
17,,[r2, r3, r1],,[487616715, 431, 839756751],,{maxSucc=63.13594684026585, minTravel=744.0},,2192824
17,,[r2, r3, r1],,[850728105, 642, 741189730],,{maxSucc=63.13594684026588, minTravel=818.0},,2195321
17,,[r2, r3, r1],,[1712660628, 79, 928395865],,{maxSucc=63.135946840265866, minTravel=751.0},,2201090
17,,[r2, r3, r1],,[1296905676, 641, 1426204429],,{maxSucc=63.13594684026588, minTravel=814.0},,2218818
17,,[r2, r3, r1],,[1129240623, 215, 205154067],,{maxSucc=63.135946840265866, minTravel=749.0},,2229176
17,,[r2, r3, r1],,[1456626272, 402, 898694667],,{maxSucc=63.135946840265866, minTravel=641.0},,2231695
17,,[r2, r3, r1],,[729907984, 647, 1868821925],,{maxSucc=63.135946840265866, minTravel=737.0},,2234139
17,,[r2, r3, r1],,[116089912, 719, 739310454],,{maxSucc=63.13594684026585, minTravel=762.0},,2239088
18,,[r2, r3, r1],,[291291276, 636, 1760676212],,{maxSucc=63.13594684026588, minTravel=784.0},,2241776
18,,[r2, r3, r1],,[123920222, 95, 1096700958],,{maxSucc=63.135946840265866, minTravel=740.0},,2249465
18,,[r2, r3, r1],,[1956271083, 611, 763041696],,{maxSucc=63.135946840265866, minTravel=772.0},,2254526
18,,[r2, r3, r1],,[1814767843, 348, 657325181],,{maxSucc=63.135946840265866, minTravel=780.0},,2259765
18,,[r2, r3, r1],,[1558328082, 524, 571935043],,{maxSucc=63.135946840265845, minTravel=810.0},,2264993
18,,[r2, r3, r1],,[1782903708, 667, 26258422],,{maxSucc=63.135946840265866, minTravel=629.0},,2280209
18,,[r2, r3, r1],,[880332587, 268, 1097112927],,{maxSucc=63.13594684026588, minTravel=769.0},,2304966
18,,[r2, r3, r1],,[1697154472, 115, 96730166],,{maxSucc=63.135946840265866, minTravel=824.0},,2307685
18,,[r2, r3, r1],,[1203152018, 347, 660794263],,{maxSucc=63.13594684026588, minTravel=758.0},,2318188
18,,[r2, r3, r1],,[1270412767, 576, 1433205594],,{maxSucc=63.135946840265866, minTravel=849.0},,2320775
18,,[r2, r3, r1],,[1621040751, 344, 837243113],,{maxSucc=63.135946840265866, minTravel=801.0},,2326260
18,,[r2, r3, r1],,[1431129374, 215, 1221557052],,{maxSucc=63.135946840265866, minTravel=690.0},,2331633
18,,[r2, r3, r1],,[1020566915, 127, 893552837],,{maxSucc=63.13594684026588, minTravel=867.0},,2345306
18,,[r2, r3, r1],,[131927238, 376, 522021253],,{maxSucc=63.13594684026588, minTravel=665.0},,2347939
18,,[r2, r3, r1],,[1712689048, 47, 1276461776],,{maxSucc=63.13594684026588, minTravel=740.0},,2350511
18,,[r2, r3, r1],,[1145100868, 175, 1093588875],,{maxSucc=63.135946840265866, minTravel=774.0},,2353211
18,,[r2, r3, r1],,[268672856, 505, 1604711917],,{maxSucc=63.135946840265866, minTravel=742.0},,2356255
18,,[r2, r3, r1],,[1774112681, 651, 1629123720],,{maxSucc=63.135946840265866, minTravel=862.0},,2359171
18,,[r2, r3, r1],,[140487600, 113, 533170640],,{maxSucc=63.135946840265866, minTravel=779.0},,2361793
18,,[r2, r3, r1],,[1317987753, 136, 1801032148],,{maxSucc=63.135946840265866, minTravel=824.0},,2364433
19,,[r2, r3, r1],,[784807700, 98, 1688546611],,{maxSucc=63.135946840265866, minTravel=769.0},,2375011
19,,[r2, r3, r1],,[246634911, 690, 1135609014],,{maxSucc=63.135946840265866, minTravel=731.0},,2380963
19,,[r2, r3, r1],,[786803461, 509, 1400957020],,{maxSucc=63.135946840265866, minTravel=778.0},,2395453
19,,[r2, r3, r1],,[425478647, 510, 1709463647],,{maxSucc=63.135946840265866, minTravel=695.0},,2398473
19,,[r2, r3, r1],,[993367501, 631, 408391393],,{maxSucc=63.135946840265866, minTravel=896.0},,2400515
19,,[r2, r3, r1],,[1784847352, 691, 1870312969],,{maxSucc=63.135946840265866, minTravel=728.0},,2416957
19,,[r2, r3, r1],,[572574086, 291, 717216770],,{maxSucc=63.135946840265866, minTravel=782.0},,2419951
19,,[r2, r3, r1],,[1186114680, 408, 180118292],,{maxSucc=63.135946840265866, minTravel=708.0},,2446450
19,,[r2, r3, r1],,[203861185, 70, 1626621304],,{maxSucc=63.13594684026588, minTravel=816.0},,2451698
19,,[r2, r3, r1],,[1433851560, 265, 788406196],,{maxSucc=63.135946840265866, minTravel=754.0},,2465290
19,,[r2, r3, r1],,[452265569, 305, 1450851418],,{maxSucc=63.135946840265866, minTravel=612.0},,2467881
19,,[r2, r3, r1],,[213302793, 355, 151018719],,{maxSucc=63.135946840265866, minTravel=756.0},,2489253
19,,[r2, r3, r1],,[930608140, 100, 1998575186],,{maxSucc=63.135946840265866, minTravel=756.0},,2492175
19,,[r2, r3, r1],,[249033393, 225, 1937130863],,{maxSucc=63.135946840265866, minTravel=760.0},,2497678
19,,[r2, r3, r1],,[652658051, 246, 646298063],,{maxSucc=63.135946840265866, minTravel=687.0},,2505826
19,,[r2, r3, r1],,[998219687, 395, 594058353],,{maxSucc=63.135946840265866, minTravel=827.0},,2508452
19,,[r2, r3, r1],,[531368551, 448, 1189212962],,{maxSucc=63.135946840265866, minTravel=723.0},,2510917
20,,[r2, r3, r1],,[243896190, 646, 965305903],,{maxSucc=63.135946840265866, minTravel=809.0},,2516073
20,,[r2, r3, r1],,[152304464, 336, 1305895883],,{maxSucc=63.135946840265866, minTravel=802.0},,2521304
20,,[r2, r3, r1],,[235221597, 339, 1726907304],,{maxSucc=63.13594684026588, minTravel=824.0},,2524052
20,,[r2, r3, r1],,[1843666966, 76, 1103460615],,{maxSucc=63.135946840265866, minTravel=770.0},,2531860
20,,[r2, r3, r1],,[240326286, 258, 1944410738],,{maxSucc=63.135946840265866, minTravel=621.0},,2534417
20,,[r2, r3, r1],,[909416248, 225, 1870917778],,{maxSucc=63.13594684026588, minTravel=673.0},,2549162
20,,[r2, r3, r1],,[199446042, 624, 167839510],,{maxSucc=63.135946840265866, minTravel=779.0},,2554246
20,,[r2, r3, r1],,[1785445161, 12, 1627072103],,{maxSucc=63.13594684026588, minTravel=716.0},,2561972
20,,[r2, r3, r1],,[266489067, 61, 1601498556],,{maxSucc=63.13594684026585, minTravel=839.0},,2567047
20,,[r2, r3, r1],,[611926837, 67, 1233392153],,{maxSucc=63.135946840265866, minTravel=833.0},,2569860
20,,[r2, r3, r1],,[1913454573, 583, 1123537609],,{maxSucc=63.135946840265866, minTravel=767.0},,2572485
20,,[r2, r3, r1],,[1875766002, 255, 1858902562],,{maxSucc=63.135946840265866, minTravel=785.0},,2575109
20,,[r2, r3, r1],,[92239977, 460, 1036742308],,{maxSucc=63.135946840265866, minTravel=759.0},,2583258
20,,[r2, r3, r1],,[1234821628, 210, 959578946],,{maxSucc=63.135946840265866, minTravel=736.0},,2588383
20,,[r2, r3, r1],,[1373383134, 501, 1153348066],,{maxSucc=63.135946840265866, minTravel=747.0},,2593486
20,,[r2, r3, r1],,[1165105840, 394, 109794602],,{maxSucc=63.13594684026585, minTravel=731.0},,2595969
20,,[r2, r3, r1],,[1353404569, 459, 146776252],,{maxSucc=63.135946840265866, minTravel=753.0},,2598456
20,,[r2, r3, r1],,[1156111142, 510, 21947843],,{maxSucc=63.13594684026585, minTravel=819.0},,2601002
20,,[r2, r3, r1],,[1918145276, 408, 714903083],,{maxSucc=63.135946840265845, minTravel=777.0},,2606429
20,,[r2, r3, r1],,[224647025, 155, 400912796],,{maxSucc=63.135946840265866, minTravel=815.0},,2621626
20,,[r2, r3, r1],,[793272152, 207, 663997817],,{maxSucc=63.135946840265866, minTravel=825.0},,2630151
20,,[r2, r3, r1],,[1561818190, 522, 1288659938],,{maxSucc=63.135946840265866, minTravel=739.0},,2635354
20,,[r2, r3, r1],,[1103462718, 342, 700215930],,{maxSucc=63.135946840265866, minTravel=815.0},,2642775
21,,[r2, r3, r1],,[1990149002, 267, 913950294],,{maxSucc=63.135946840265866, minTravel=699.0},,2654061
21,,[r2, r3, r1],,[1813227864, 447, 218916855],,{maxSucc=63.135946840265866, minTravel=722.0},,2657334
21,,[r2, r3, r1],,[1386476100, 528, 1403677221],,{maxSucc=63.135946840265866, minTravel=732.0},,2660559
21,,[r2, r3, r1],,[1148936373, 305, 1865998183],,{maxSucc=63.135946840265866, minTravel=770.0},,2663048
21,,[r2, r3, r1],,[273495567, 104, 406854331],,{maxSucc=63.135946840265866, minTravel=701.0},,2671188
21,,[r2, r3, r1],,[831933270, 542, 812027591],,{maxSucc=63.135946840265866, minTravel=837.0},,2673684
21,,[r2, r3, r1],,[883658012, 36, 430651726],,{maxSucc=63.135946840265866, minTravel=778.0},,2686027
21,,[r2, r3, r1],,[1407296003, 193, 819647346],,{maxSucc=63.135946840265866, minTravel=762.0},,2699079
21,,[r2, r3, r1],,[360085955, 493, 302166837],,{maxSucc=63.135946840265866, minTravel=788.0},,2710387
21,,[r2, r3, r1],,[1484301292, 364, 1729501204],,{maxSucc=63.135946840265866, minTravel=684.0},,2713207
21,,[r2, r3, r1],,[1282850755, 227, 317431880],,{maxSucc=63.13594684026588, minTravel=748.0},,2721016
21,,[r2, r3, r1],,[1934828857, 63, 48086916],,{maxSucc=63.135946840265866, minTravel=743.0},,2723777
21,,[r2, r3, r1],,[1968682510, 365, 1105141917],,{maxSucc=63.135946840265866, minTravel=790.0},,2731847
21,,[r2, r3, r1],,[1552823077, 184, 1366162377],,{maxSucc=63.13594684026588, minTravel=720.0},,2734247
21,,[r2, r3, r1],,[1991172459, 280, 1636032838],,{maxSucc=63.135946840265866, minTravel=665.0},,2750326
21,,[r2, r3, r1],,[522044479, 229, 1542060067],,{maxSucc=63.135946840265866, minTravel=751.0},,2752969
21,,[r2, r3, r1],,[1106384720, 297, 432828241],,{maxSucc=63.135946840265866, minTravel=792.0},,2768233
21,,[r2, r3, r1],,[21612337, 1, 1248823313],,{maxSucc=63.13594684026588, minTravel=792.0},,2773347
21,,[r2, r3, r1],,[645199398, 215, 1753019670],,{maxSucc=63.135946840265866, minTravel=814.0},,2775978
21,,[r2, r3, r1],,[791638582, 551, 1145943307],,{maxSucc=63.135946840265866, minTravel=706.0},,2778717
22,,[r2, r3, r1],,[727578555, 659, 363854291],,{maxSucc=63.13594684026585, minTravel=755.0},,2781504
22,,[r2, r3, r1],,[677644699, 68, 1058656786],,{maxSucc=63.13594684026585, minTravel=672.0},,2785422
22,,[r2, r3, r1],,[1204287, 182, 1839973347],,{maxSucc=63.135946840265845, minTravel=745.0},,2788056
22,,[r2, r3, r1],,[1732902090, 71, 1509301679],,{maxSucc=63.13594684026585, minTravel=751.0},,2793524
22,,[r2, r3, r1],,[768081123, 416, 889928623],,{maxSucc=63.135946840265866, minTravel=780.0},,2806231
22,,[r2, r3, r1],,[882362771, 32, 479412336],,{maxSucc=63.13594684026585, minTravel=779.0},,2811367
22,,[r2, r3, r1],,[1417959387, 18, 1871528556],,{maxSucc=63.135946840265866, minTravel=802.0},,2813862
22,,[r2, r3, r1],,[334297939, 48, 1506318221],,{maxSucc=63.135946840265866, minTravel=763.0},,2816482
22,,[r2, r3, r1],,[1620750353, 597, 1539256252],,{maxSucc=63.135946840265866, minTravel=803.0},,2821565
22,,[r2, r3, r1],,[628617715, 297, 135369680],,{maxSucc=63.135946840265866, minTravel=787.0},,2824052
22,,[r2, r3, r1],,[910101556, 141, 1851500606],,{maxSucc=63.135946840265866, minTravel=723.0},,2829062
22,,[r2, r3, r1],,[1513942407, 305, 1231424221],,{maxSucc=63.135946840265866, minTravel=800.0},,2836650
22,,[r2, r3, r1],,[874199567, 125, 1281756770],,{maxSucc=63.135946840265866, minTravel=831.0},,2839287
22,,[r2, r3, r1],,[1367317235, 701, 858603795],,{maxSucc=63.135946840265866, minTravel=844.0},,2844339
22,,[r2, r3, r1],,[1902062014, 452, 319094308],,{maxSucc=63.135946840265866, minTravel=850.0},,2851535
22,,[r2, r3, r1],,[705411054, 114, 471964179],,{maxSucc=63.135946840265866, minTravel=755.0},,2854002
22,,[r2, r3, r1],,[560534334, 609, 1872914819],,{maxSucc=63.135946840265866, minTravel=819.0},,2856690
22,,[r2, r3, r1],,[588420054, 50, 458799466],,{maxSucc=63.135946840265866, minTravel=879.0},,2859277
22,,[r2, r3, r1],,[1380708063, 316, 955009753],,{maxSucc=63.135946840265866, minTravel=801.0},,2861885
22,,[r2, r3, r1],,[1307937022, 669, 349214245],,{maxSucc=63.135946840265866, minTravel=707.0},,2864321
22,,[r2, r3, r1],,[262500936, 367, 1149487303],,{maxSucc=63.135946840265866, minTravel=749.0},,2867024
22,,[r2, r3, r1],,[1285911623, 206, 1360907499],,{maxSucc=63.135946840265866, minTravel=728.0},,2869682
22,,[r2, r3, r1],,[334407803, 586, 1537311344],,{maxSucc=63.135946840265866, minTravel=697.0},,2872310
22,,[r2, r3, r1],,[446140695, 153, 1574108624],,{maxSucc=63.13594684026588, minTravel=781.0},,2875145
22,,[r2, r3, r1],,[595799867, 233, 1580812190],,{maxSucc=63.13594684026585, minTravel=832.0},,2877726
22,,[r2, r3, r1],,[328440016, 156, 21582585],,{maxSucc=63.135946840265845, minTravel=790.0},,2880307
22,,[r2, r3, r1],,[820118354, 174, 1538475626],,{maxSucc=63.13594684026588, minTravel=684.0},,2882956
22,,[r2, r3, r1],,[568821175, 373, 971819575],,{maxSucc=63.135946840265866, minTravel=863.0},,2890508
22,,[r2, r3, r1],,[1281701851, 667, 1714626228],,{maxSucc=63.13594684026588, minTravel=784.0},,2895723
22,,[r2, r3, r1],,[1816984977, 506, 1632380179],,{maxSucc=63.135946840265866, minTravel=734.0},,2903481
