alloc,,robots,,perm,,reason,,time
1,,[r3, r4, r5, r1],,[1, 2, 2, 286810],,noPlanSynthesised,,2501
1,,[r3, r4, r5, r1],,[1, 2, 2, 190366],,noPlanSynthesised,,31706
1,,[r3, r4, r5, r1],,[1, 1, 1, 226346],,noPlanSynthesised,,32195
1,,[r3, r4, r5, r1],,[1, 1, 1, 245583],,noPlanSynthesised,,32657
1,,[r3, r4, r5, r1],,[1, 1, 2, 127312],,noPlanSynthesised,,33055
1,,[r3, r4, r5, r1],,[1, 2, 2, 254505],,noPlanSynthesised,,33535
1,,[r3, r4, r5, r1],,[2, 2, 1, 236544],,noPlanSynthesised,,33904
1,,[r3, r4, r5, r1],,[1, 1, 2, 220987],,noPlanSynthesised,,34579
1,,[r3, r4, r5, r1],,[2, 2, 1, 151467],,noPlanSynthesised,,34952
1,,[r3, r4, r5, r1],,[1, 2, 1, 297829],,noPlanSynthesised,,35555
1,,[r3, r4, r5, r1],,[1, 1, 2, 236466],,noPlanSynthesised,,35931
1,,[r3, r4, r5, r1],,[2, 1, 2, 333468],,noPlanSynthesised,,36310
1,,[r3, r4, r5, r1],,[1, 2, 1, 145193],,noPlanSynthesised,,36699
1,,[r3, r4, r5, r1],,[1, 1, 1, 141348],,noPlanSynthesised,,37470
1,,[r3, r4, r5, r1],,[2, 1, 2, 65430],,noPlanSynthesised,,37837
1,,[r3, r4, r5, r1],,[1, 1, 2, 273236],,noPlanSynthesised,,38225
1,,[r3, r4, r5, r1],,[1, 2, 1, 354226],,noPlanSynthesised,,38650
1,,[r3, r4, r5, r1],,[1, 2, 2, 52309],,noPlanSynthesised,,39167
1,,[r3, r4, r5, r1],,[1, 2, 1, 340518],,noPlanSynthesised,,39637
1,,[r3, r4, r5, r1],,[2, 2, 1, 85219],,noPlanSynthesised,,39991
1,,[r3, r4, r5, r1],,[1, 2, 1, 29519],,noPlanSynthesised,,40341
1,,[r3, r4, r5, r1],,[1, 1, 2, 179210],,noPlanSynthesised,,40790
1,,[r3, r4, r5, r1],,[1, 2, 1, 245883],,noPlanSynthesised,,41225
1,,[r3, r4, r5, r1],,[2, 1, 2, 169065],,noPlanSynthesised,,41589
1,,[r3, r4, r5, r1],,[2, 1, 2, 345129],,noPlanSynthesised,,41963
1,,[r3, r4, r5, r1],,[2, 2, 2, 341234],,noPlanSynthesised,,42350
1,,[r3, r4, r5, r1],,[2, 2, 1, 301900],,noPlanSynthesised,,42744
1,,[r3, r4, r5, r1],,[1, 1, 1, 124839],,noPlanSynthesised,,43178
1,,[r3, r4, r5, r1],,[2, 1, 2, 236296],,noPlanSynthesised,,43606
1,,[r3, r4, r5, r1],,[1, 1, 2, 143582],,noPlanSynthesised,,44022
1,,[r3, r4, r5, r1],,[1, 1, 2, 361715],,noPlanSynthesised,,44407
1,,[r3, r4, r5, r1],,[1, 1, 2, 265854],,noPlanSynthesised,,44810
1,,[r3, r4, r5, r1],,[1, 1, 1, 146133],,noPlanSynthesised,,45308
1,,[r3, r4, r5, r1],,[1, 1, 1, 127679],,noPlanSynthesised,,45732
1,,[r3, r4, r5, r1],,[2, 1, 1, 66024],,noPlanSynthesised,,46218
1,,[r3, r4, r5, r1],,[1, 1, 1, 165998],,noPlanSynthesised,,46975
1,,[r3, r4, r5, r1],,[1, 1, 2, 133016],,noPlanSynthesised,,47403
1,,[r3, r4, r5, r1],,[2, 2, 2, 278822],,noPlanSynthesised,,47888
1,,[r3, r4, r5, r1],,[2, 1, 2, 169027],,noPlanSynthesised,,48457
1,,[r3, r4, r5, r1],,[1, 1, 1, 343063],,noPlanSynthesised,,49406
1,,[r3, r4, r5, r1],,[1, 1, 2, 290553],,noPlanSynthesised,,49922
1,,[r3, r4, r5, r1],,[2, 1, 2, 206658],,noPlanSynthesised,,50347
1,,[r3, r4, r5, r1],,[1, 2, 1, 52796],,noPlanSynthesised,,50803
1,,[r3, r4, r5, r1],,[1, 2, 2, 254010],,noPlanSynthesised,,51364
1,,[r3, r4, r5, r1],,[2, 2, 2, 33729],,noPlanSynthesised,,51767
1,,[r3, r4, r5, r1],,[1, 1, 2, 204004],,noPlanSynthesised,,52483
1,,[r3, r4, r5, r1],,[1, 2, 2, 344109],,noPlanSynthesised,,52957
1,,[r3, r4, r5, r1],,[1, 2, 1, 55863],,noPlanSynthesised,,53450
1,,[r3, r4, r5, r1],,[2, 1, 1, 311897],,noPlanSynthesised,,54302
1,,[r3, r4, r5, r1],,[2, 2, 1, 104573],,noPlanSynthesised,,54802
1,,[r3, r4, r5, r1],,[2, 1, 2, 6542],,noPlanSynthesised,,55340
1,,[r3, r4, r5, r1],,[1, 2, 2, 12687],,noPlanSynthesised,,58338
1,,[r3, r4, r5, r1],,[1, 2, 1, 39881],,noPlanSynthesised,,65691
1,,[r3, r4, r5, r1],,[2, 2, 2, 240925],,noPlanSynthesised,,66311
1,,[r3, r4, r5, r1],,[1, 2, 1, 185975],,noPlanSynthesised,,66813
1,,[r3, r4, r5, r1],,[2, 1, 2, 185571],,noPlanSynthesised,,67332
1,,[r3, r4, r5, r1],,[2, 1, 2, 60729],,noPlanSynthesised,,67805
1,,[r3, r4, r5, r1],,[2, 1, 2, 154868],,noPlanSynthesised,,68278
1,,[r3, r4, r5, r1],,[1, 2, 2, 10913],,noPlanSynthesised,,68712
1,,[r3, r4, r5, r1],,[2, 1, 1, 69747],,noPlanSynthesised,,69211
1,,[r3, r4, r5, r1],,[2, 1, 1, 25971],,noPlanSynthesised,,69687
1,,[r3, r4, r5, r1],,[2, 1, 2, 310740],,noPlanSynthesised,,70110
1,,[r3, r4, r5, r1],,[2, 2, 1, 113893],,noPlanSynthesised,,70576
1,,[r3, r4, r5, r1],,[2, 1, 2, 273183],,noPlanSynthesised,,71081
1,,[r3, r4, r5, r1],,[1, 1, 2, 357982],,noPlanSynthesised,,71533
1,,[r3, r4, r5, r1],,[2, 2, 1, 262957],,noPlanSynthesised,,71935
1,,[r3, r4, r5, r1],,[2, 1, 1, 302394],,noPlanSynthesised,,72407
1,,[r3, r4, r5, r1],,[1, 2, 2, 276712],,noPlanSynthesised,,72885
1,,[r3, r4, r5, r1],,[1, 1, 2, 221699],,noPlanSynthesised,,73425
1,,[r3, r4, r5, r1],,[1, 1, 1, 84879],,noPlanSynthesised,,73890
1,,[r3, r4, r5, r1],,[1, 2, 1, 32057],,noPlanSynthesised,,74369
1,,[r3, r4, r5, r1],,[2, 1, 2, 234095],,noPlanSynthesised,,74744
1,,[r3, r4, r5, r1],,[1, 1, 2, 225803],,noPlanSynthesised,,75229
1,,[r3, r4, r5, r1],,[2, 1, 2, 300074],,noPlanSynthesised,,75652
1,,[r3, r4, r5, r1],,[2, 2, 1, 64412],,noPlanSynthesised,,76089
1,,[r3, r4, r5, r1],,[2, 1, 2, 309492],,noPlanSynthesised,,76495
1,,[r3, r4, r5, r1],,[2, 2, 2, 73790],,noPlanSynthesised,,76875
1,,[r3, r4, r5, r1],,[1, 1, 2, 251856],,noPlanSynthesised,,77264
1,,[r3, r4, r5, r1],,[1, 1, 2, 191417],,noPlanSynthesised,,77679
1,,[r3, r4, r5, r1],,[2, 1, 1, 8407],,noPlanSynthesised,,78188
1,,[r3, r4, r5, r1],,[2, 2, 1, 67077],,noPlanSynthesised,,78549
1,,[r3, r4, r5, r1],,[2, 1, 2, 291568],,noPlanSynthesised,,78949
1,,[r3, r4, r5, r1],,[1, 1, 1, 140555],,noPlanSynthesised,,79703
1,,[r3, r4, r5, r1],,[2, 2, 2, 289177],,noPlanSynthesised,,80057
1,,[r3, r4, r5, r1],,[1, 1, 2, 206567],,noPlanSynthesised,,80444
1,,[r3, r4, r5, r1],,[1, 1, 2, 160156],,noPlanSynthesised,,81138
1,,[r3, r4, r5, r1],,[2, 1, 1, 335912],,noPlanSynthesised,,81545
1,,[r3, r4, r5, r1],,[2, 1, 2, 129754],,noPlanSynthesised,,82009
1,,[r3, r4, r5, r1],,[2, 2, 1, 173070],,noPlanSynthesised,,82474
1,,[r3, r4, r5, r1],,[2, 1, 2, 55683],,noPlanSynthesised,,82878
1,,[r3, r4, r5, r1],,[1, 2, 2, 10955],,noPlanSynthesised,,83408
1,,[r3, r4, r5, r1],,[1, 1, 1, 153563],,noPlanSynthesised,,83943
1,,[r3, r4, r5, r1],,[1, 2, 2, 161090],,noPlanSynthesised,,84324
1,,[r3, r4, r5, r1],,[1, 2, 2, 164471],,noPlanSynthesised,,84711
1,,[r3, r4, r5, r1],,[1, 1, 2, 137803],,noPlanSynthesised,,85152
1,,[r3, r4, r5, r1],,[2, 1, 1, 127613],,noPlanSynthesised,,85610
1,,[r3, r4, r5, r1],,[2, 2, 1, 301548],,noPlanSynthesised,,86028
1,,[r3, r4, r5, r1],,[2, 2, 1, 331751],,noPlanSynthesised,,86412
1,,[r3, r4, r5, r1],,[1, 2, 2, 57760],,noPlanSynthesised,,86821
1,,[r3, r4, r5, r1],,[2, 1, 2, 260416],,noPlanSynthesised,,87248
1,,[r3, r4, r5, r1],,[2, 2, 1, 80532],,noPlanSynthesised,,87610
1,,[r3, r4, r5, r1],,[1, 1, 2, 26468],,noPlanSynthesised,,88001
1,,[r3, r4, r5, r1],,[2, 1, 2, 296804],,noPlanSynthesised,,88409
1,,[r3, r4, r5, r1],,[1, 2, 2, 64452],,noPlanSynthesised,,89008
1,,[r3, r4, r5, r1],,[1, 1, 2, 65250],,noPlanSynthesised,,89431
1,,[r3, r4, r5, r1],,[1, 1, 1, 212383],,noPlanSynthesised,,90131
1,,[r3, r4, r5, r1],,[1, 2, 2, 191823],,noPlanSynthesised,,90530
1,,[r3, r4, r5, r1],,[2, 1, 1, 135114],,noPlanSynthesised,,90954
1,,[r3, r4, r5, r1],,[1, 1, 2, 269856],,noPlanSynthesised,,91327
1,,[r3, r4, r5, r1],,[1, 1, 1, 124137],,noPlanSynthesised,,91797
1,,[r3, r4, r5, r1],,[2, 2, 2, 47801],,noPlanSynthesised,,92247
1,,[r3, r4, r5, r1],,[2, 1, 2, 28083],,noPlanSynthesised,,92604
1,,[r3, r4, r5, r1],,[2, 1, 2, 69301],,noPlanSynthesised,,92988
1,,[r3, r4, r5, r1],,[2, 1, 1, 258865],,noPlanSynthesised,,93421
1,,[r3, r4, r5, r1],,[1, 2, 2, 179867],,noPlanSynthesised,,93886
1,,[r3, r4, r5, r1],,[2, 1, 2, 143870],,noPlanSynthesised,,94258
1,,[r3, r4, r5, r1],,[2, 2, 1, 186410],,noPlanSynthesised,,94686
1,,[r3, r4, r5, r1],,[1, 2, 2, 246408],,noPlanSynthesised,,95078
1,,[r3, r4, r5, r1],,[1, 2, 1, 333454],,noPlanSynthesised,,95501
1,,[r3, r4, r5, r1],,[1, 2, 2, 139469],,noPlanSynthesised,,95943
1,,[r3, r4, r5, r1],,[1, 1, 1, 188839],,noPlanSynthesised,,96944
1,,[r3, r4, r5, r1],,[2, 1, 2, 308255],,noPlanSynthesised,,97405
1,,[r3, r4, r5, r1],,[2, 1, 2, 201673],,noPlanSynthesised,,97855
1,,[r3, r4, r5, r1],,[1, 1, 2, 142304],,noPlanSynthesised,,98287
1,,[r3, r4, r5, r1],,[2, 2, 2, 264566],,noPlanSynthesised,,98710
1,,[r3, r4, r5, r1],,[2, 1, 2, 108870],,noPlanSynthesised,,99171
1,,[r3, r4, r5, r1],,[1, 2, 2, 360613],,noPlanSynthesised,,99831
1,,[r3, r4, r5, r1],,[1, 1, 1, 207255],,noPlanSynthesised,,100297
1,,[r3, r4, r5, r1],,[2, 2, 2, 250366],,noPlanSynthesised,,100754
1,,[r3, r4, r5, r1],,[2, 1, 1, 141038],,noPlanSynthesised,,101250
1,,[r3, r4, r5, r1],,[2, 1, 2, 166811],,noPlanSynthesised,,101606
1,,[r3, r4, r5, r1],,[2, 1, 1, 41332],,noPlanSynthesised,,102034
1,,[r3, r4, r5, r1],,[2, 1, 1, 226889],,noPlanSynthesised,,102488
1,,[r3, r4, r5, r1],,[2, 1, 1, 357798],,noPlanSynthesised,,102976
1,,[r3, r4, r5, r1],,[1, 2, 2, 23748],,noPlanSynthesised,,103350
1,,[r3, r4, r5, r1],,[2, 2, 1, 180245],,noPlanSynthesised,,103740
1,,[r3, r4, r5, r1],,[1, 1, 1, 150014],,noPlanSynthesised,,104280
1,,[r3, r4, r5, r1],,[1, 1, 2, 41377],,noPlanSynthesised,,104640
1,,[r3, r4, r5, r1],,[2, 2, 1, 66391],,noPlanSynthesised,,105026
1,,[r3, r4, r5, r1],,[1, 1, 1, 171069],,noPlanSynthesised,,105448
1,,[r3, r4, r5, r1],,[1, 1, 1, 230502],,noPlanSynthesised,,105968
1,,[r3, r4, r5, r1],,[2, 2, 1, 93230],,noPlanSynthesised,,106324
1,,[r3, r4, r5, r1],,[2, 1, 1, 26542],,noPlanSynthesised,,106794
1,,[r3, r4, r5, r1],,[1, 1, 2, 328139],,noPlanSynthesised,,107211
1,,[r3, r4, r5, r1],,[2, 2, 2, 117865],,noPlanSynthesised,,107655
1,,[r3, r4, r5, r1],,[2, 2, 1, 266429],,noPlanSynthesised,,108028
1,,[r3, r4, r5, r1],,[2, 2, 1, 52417],,noPlanSynthesised,,108431
1,,[r3, r4, r5, r1],,[2, 2, 1, 336320],,noPlanSynthesised,,108826
1,,[r3, r4, r5, r1],,[2, 1, 2, 232849],,noPlanSynthesised,,109225
1,,[r3, r4, r5, r1],,[2, 2, 2, 82400],,noPlanSynthesised,,109581
1,,[r3, r4, r5, r1],,[1, 1, 2, 248871],,noPlanSynthesised,,109976
1,,[r3, r4, r5, r1],,[1, 2, 2, 203709],,noPlanSynthesised,,110604
1,,[r3, r4, r5, r1],,[1, 1, 1, 57477],,noPlanSynthesised,,111047
1,,[r3, r4, r5, r1],,[2, 2, 1, 329031],,noPlanSynthesised,,111441
1,,[r3, r4, r5, r1],,[1, 2, 1, 262555],,noPlanSynthesised,,111945
1,,[r3, r4, r5, r1],,[2, 1, 2, 201985],,noPlanSynthesised,,112404
1,,[r3, r4, r5, r1],,[1, 1, 2, 297870],,noPlanSynthesised,,112813
1,,[r3, r4, r5, r1],,[2, 1, 1, 153025],,noPlanSynthesised,,113265
1,,[r3, r4, r5, r1],,[1, 1, 1, 6900],,noPlanSynthesised,,113777
1,,[r3, r4, r5, r1],,[2, 2, 1, 155886],,noPlanSynthesised,,114204
1,,[r3, r4, r5, r1],,[1, 1, 2, 37397],,noPlanSynthesised,,114600
1,,[r3, r4, r5, r1],,[2, 1, 1, 49985],,noPlanSynthesised,,115003
1,,[r3, r4, r5, r1],,[2, 2, 1, 209451],,noPlanSynthesised,,115417
1,,[r3, r4, r5, r1],,[1, 2, 1, 63876],,noPlanSynthesised,,116049
1,,[r3, r4, r5, r1],,[1, 1, 2, 49442],,noPlanSynthesised,,116421
1,,[r3, r4, r5, r1],,[1, 2, 2, 301781],,noPlanSynthesised,,116806
1,,[r3, r4, r5, r1],,[1, 2, 1, 226392],,noPlanSynthesised,,117249
1,,[r3, r4, r5, r1],,[2, 2, 2, 10851],,noPlanSynthesised,,117672
1,,[r3, r4, r5, r1],,[2, 2, 2, 223069],,noPlanSynthesised,,118080
1,,[r3, r4, r5, r1],,[2, 2, 1, 63151],,noPlanSynthesised,,118473
1,,[r3, r4, r5, r1],,[1, 2, 1, 255796],,noPlanSynthesised,,118930
1,,[r3, r4, r5, r1],,[2, 2, 1, 86604],,noPlanSynthesised,,119403
1,,[r3, r4, r5, r1],,[2, 2, 2, 314640],,noPlanSynthesised,,120200
1,,[r3, r4, r5, r1],,[2, 1, 1, 296992],,noPlanSynthesised,,120640
1,,[r3, r4, r5, r1],,[2, 1, 2, 130967],,noPlanSynthesised,,121032
1,,[r3, r4, r5, r1],,[2, 1, 2, 143264],,noPlanSynthesised,,121530
1,,[r3, r4, r5, r1],,[2, 2, 2, 23458],,noPlanSynthesised,,121874
1,,[r3, r4, r5, r1],,[1, 1, 1, 15767],,noPlanSynthesised,,122297
1,,[r3, r4, r5, r1],,[1, 1, 1, 314746],,noPlanSynthesised,,122771
1,,[r3, r4, r5, r1],,[2, 1, 1, 7263],,noPlanSynthesised,,123232
1,,[r3, r4, r5, r1],,[2, 1, 2, 123548],,noPlanSynthesised,,123635
1,,[r3, r4, r5, r1],,[1, 1, 1, 294437],,noPlanSynthesised,,124082
1,,[r3, r4, r5, r1],,[1, 2, 2, 117750],,noPlanSynthesised,,124494
1,,[r3, r4, r5, r1],,[1, 2, 2, 78377],,noPlanSynthesised,,124925
1,,[r3, r4, r5, r1],,[2, 1, 1, 348199],,noPlanSynthesised,,125442
1,,[r3, r4, r5, r1],,[1, 1, 1, 254587],,noPlanSynthesised,,125870
1,,[r3, r4, r5, r1],,[1, 1, 2, 233026],,noPlanSynthesised,,126263
1,,[r3, r4, r5, r1],,[2, 1, 1, 8255],,noPlanSynthesised,,126710
1,,[r3, r4, r5, r1],,[2, 1, 1, 93835],,noPlanSynthesised,,127282
1,,[r3, r4, r5, r1],,[1, 2, 2, 350441],,noPlanSynthesised,,127671
1,,[r3, r4, r5, r1],,[1, 1, 2, 316984],,noPlanSynthesised,,128126
1,,[r3, r4, r5, r1],,[2, 1, 2, 250241],,noPlanSynthesised,,128538
1,,[r3, r4, r5, r1],,[1, 2, 2, 321840],,noPlanSynthesised,,129001
1,,[r3, r4, r5, r1],,[2, 2, 1, 280544],,noPlanSynthesised,,129476
1,,[r3, r4, r5, r1],,[1, 2, 2, 180687],,noPlanSynthesised,,130046
1,,[r3, r4, r5, r1],,[1, 2, 2, 119793],,noPlanSynthesised,,130470
1,,[r3, r4, r5, r1],,[1, 2, 2, 41888],,noPlanSynthesised,,130883
1,,[r3, r4, r5, r1],,[2, 1, 2, 143088],,noPlanSynthesised,,131332
1,,[r3, r4, r5, r1],,[1, 1, 2, 218529],,noPlanSynthesised,,131883
1,,[r3, r4, r5, r1],,[2, 1, 2, 121774],,noPlanSynthesised,,132518
1,,[r3, r4, r5, r1],,[2, 2, 2, 292994],,noPlanSynthesised,,132961
1,,[r3, r4, r5, r1],,[2, 2, 1, 163274],,noPlanSynthesised,,133421
1,,[r3, r4, r5, r1],,[2, 2, 2, 144357],,noPlanSynthesised,,133913
1,,[r3, r4, r5, r1],,[2, 2, 2, 227704],,noPlanSynthesised,,134448
1,,[r3, r4, r5, r1],,[1, 2, 2, 316831],,noPlanSynthesised,,135001
1,,[r3, r4, r5, r1],,[1, 2, 2, 210110],,noPlanSynthesised,,135583
1,,[r3, r4, r5, r1],,[1, 2, 2, 271861],,noPlanSynthesised,,136199
1,,[r3, r4, r5, r1],,[1, 2, 2, 307250],,noPlanSynthesised,,136872
1,,[r3, r4, r5, r1],,[1, 2, 1, 107872],,noPlanSynthesised,,137662
1,,[r3, r4, r5, r1],,[2, 1, 1, 338749],,noPlanSynthesised,,138258
1,,[r3, r4, r5, r1],,[1, 2, 2, 31177],,noPlanSynthesised,,139431
1,,[r3, r4, r5, r1],,[1, 1, 2, 263386],,noPlanSynthesised,,140127
1,,[r3, r4, r5, r1],,[1, 2, 1, 104524],,noPlanSynthesised,,140644
1,,[r3, r4, r5, r1],,[2, 1, 2, 88790],,noPlanSynthesised,,141059
1,,[r3, r4, r5, r1],,[1, 1, 1, 360313],,noPlanSynthesised,,141528
1,,[r3, r4, r5, r1],,[2, 2, 2, 8209],,noPlanSynthesised,,142039
1,,[r3, r4, r5, r1],,[2, 1, 2, 291086],,noPlanSynthesised,,142505
1,,[r3, r4, r5, r1],,[2, 2, 2, 11068],,noPlanSynthesised,,143001
1,,[r3, r4, r5, r1],,[1, 1, 2, 45246],,noPlanSynthesised,,143391
1,,[r3, r4, r5, r1],,[2, 1, 1, 32153],,noPlanSynthesised,,143808
1,,[r3, r4, r5, r1],,[2, 2, 1, 98668],,noPlanSynthesised,,144232
1,,[r3, r4, r5, r1],,[2, 2, 2, 231358],,noPlanSynthesised,,144630
1,,[r3, r4, r5, r1],,[2, 1, 1, 329200],,noPlanSynthesised,,145133
1,,[r3, r4, r5, r1],,[2, 1, 2, 25041],,noPlanSynthesised,,145531
1,,[r3, r4, r5, r1],,[1, 1, 2, 346576],,noPlanSynthesised,,146000
1,,[r3, r4, r5, r1],,[1, 2, 2, 308428],,noPlanSynthesised,,146549
1,,[r3, r4, r5, r1],,[2, 1, 1, 304776],,noPlanSynthesised,,146994
1,,[r3, r4, r5, r1],,[1, 2, 2, 150458],,noPlanSynthesised,,147405
1,,[r3, r4, r5, r1],,[1, 1, 2, 4802],,noPlanSynthesised,,147897
1,,[r3, r4, r5, r1],,[2, 1, 1, 55288],,noPlanSynthesised,,148455
1,,[r3, r4, r5, r1],,[1, 2, 1, 8734],,noPlanSynthesised,,148975
1,,[r3, r4, r5, r1],,[1, 2, 1, 194292],,noPlanSynthesised,,149429
1,,[r3, r4, r5, r1],,[2, 2, 2, 287339],,noPlanSynthesised,,149878
1,,[r3, r4, r5, r1],,[2, 2, 2, 317553],,noPlanSynthesised,,150385
1,,[r3, r4, r5, r1],,[1, 1, 1, 327531],,noPlanSynthesised,,150958
1,,[r3, r4, r5, r1],,[2, 2, 1, 8338],,noPlanSynthesised,,153344
1,,[r3, r4, r5, r1],,[1, 1, 2, 293897],,noPlanSynthesised,,153800
1,,[r3, r4, r5, r1],,[1, 2, 1, 282567],,noPlanSynthesised,,154292
1,,[r3, r4, r5, r1],,[2, 1, 1, 224384],,noPlanSynthesised,,154846
1,,[r3, r4, r5, r1],,[1, 2, 2, 333730],,noPlanSynthesised,,155560
1,,[r3, r4, r5, r1],,[1, 2, 1, 332079],,noPlanSynthesised,,155982
1,,[r3, r4, r5, r1],,[2, 2, 1, 55980],,noPlanSynthesised,,156402
1,,[r3, r4, r5, r1],,[1, 1, 1, 343729],,noPlanSynthesised,,157446
